scenario,week,Lake_Arapuni,Lake_Aratiatia,Lake_Atiamuri,Lake_Aviemore,Lake_Benmore,Lake_Cobb,Lake_Coleridge,Lake_Dunstan,Lake_Hawea,Lake_Karapiro,Lake_Maraetai,Lake_Matahina,Lake_Moawhango,Lake_Ohakuri,Lake_Ohau,Lake_Pukaki,Lake_Rotoaira,Lake_Roxburgh,Lake_Taupo,Lake_Tekapo,Lake_Waikaremoana,Lake_Waipapa,Lake_Waitaki,Lake_Wanaka,Lake_Whakamaru,Lakes_Manapouri_Te_Anau,Mangahao_head
1933,15,9.4011,3.6465,1.0256,32.7291,81.8227,270.095,6.9823,20.4969,108.8687,10.1418,815.5169,7.2123,18.2893,56.8634,357.3383,170.5621,9.2301,153.8021,27.2907,9.2173,110.9751,37.0811,4.6376,1.9372,17.7555,382.9233,13.4464
1933,16,8.604,3.3373,0.9386,44.0489,110.1223,298.4485,7.9086,24.632,186.206,9.2819,1362.6199,10.7439,16.7387,61.9584,241.1219,147.5856,8.4476,206.9967,29.5751,10.1849,122.0604,41.1894,1.1054,1.7729,23.8965,386.2329,12.3063
1933,17,9.8153,3.8071,1.0708,22.6104,56.526,397.1564,9.7837,33.0039,75.6569,10.5886,490.4456,6.0621,19.0952,63.4263,133.6746,75.4163,9.6368,106.252,36.5527,13.5534,155.0723,53.1507,5.7651,2.0225,12.2661,357.2501,14.0389
1933,18,11.8486,4.5958,1.2926,17.4257,43.5641,321.3979,10.4791,36.1071,71.787,12.7822,602.437,17.6701,23.051,78.8494,91.3377,81.2823,11.6332,81.8873,46.1794,10.9681,212.3697,74.2684,9.784,2.4415,9.4534,277.7233,16.9472
1933,19,14.9648,5.8045,1.6325,12.2954,30.7384,280.8902,6.7947,19.6591,47.1656,16.1439,404.7387,4.0867,29.1134,73.9481,72.0163,45.9541,14.6927,57.7786,47.3689,9.5857,206.121,71.3304,8.1453,3.0837,6.6702,235.2936,21.4042
1933,20,10.4022,4.0348,1.1348,31.4256,78.564,506.109,9.1944,30.3731,136.9676,11.2218,1957.7754,7.4134,20.237,64.6623,153.8699,109.8793,10.2131,147.6766,35.3284,17.2716,150.0561,51.3714,3.0529,2.1435,17.0484,282.8999,14.8783
1933,21,9.3976,3.6451,1.0252,21.0225,52.5563,399.8184,7.9316,24.7349,86.0789,10.138,575.3096,8.5507,18.2826,72.812,118.0561,82.4496,9.2268,98.7897,43.522,13.6443,188.0819,64.9257,42.353,1.9365,11.4047,289.7156,13.4414
1933,22,9.7725,3.7906,1.0661,14.0782,35.1956,320.9234,6.848,19.8973,52.2094,10.5425,256.7213,16.0927,19.012,74.8703,88.7093,68.0674,9.5948,66.1569,46.7134,10.9519,203.0019,70.2479,93.4663,2.0137,7.6374,248.348,13.9777
1933,23,11.482,4.4536,1.2526,11.2987,28.2469,249.7077,6.2619,17.2807,33.1197,12.3866,142.4029,5.2021,22.3377,62.7213,65.5023,56.5,11.2732,53.0953,34.2339,8.5216,144.6996,49.3597,18.7106,2.366,6.1296,205.745,16.4227
1933,24,9.4054,3.6481,1.026,8.6845,21.7113,194.6251,4.5674,9.7167,27.0781,10.1464,133.9067,4.2281,18.2977,55.4769,45.2017,44.1486,9.2344,40.8104,25.3311,6.6418,101.3787,34.2913,14.1601,1.9381,4.7113,169.2097,13.4525
